--------- beginning of main
26,126,15,2,1,1,0,20,15,7,3,2,0,27,15,28,8,8,0,51
31,151,15,2,1,1,0,20,15,7,3,2,0,28,15,28,8,8,0,51
36,176,15,2,1,1,0,20,15,7,2,2,0,27,15,28,8,8,0,51
41,201,15,2,1,1,0,20,15,7,2,2,0,27,15,28,8,8,0,51
47,226,15,2,1,1,0,20,15,6,2,2,0,27,15,28,8,8,0,51
52,251,15,2,1,1,0,20,15,6,2,2,0,27,15,28,8,8,0,51
57,276,15,2,1,1,0,20,15,6,2,2,0,27,15,28,8,8,0,51
62,301,15,2,0,0,0,20,15,6,2,2,0,26,15,28,8,8,0,51
67,326,15,2,0,0,0,20,15,6,2,2,0,26,15,28,8,8,0,51
72,351,15,2,0,0,0,20,15,6,2,2,0,26,15,28,8,8,0,51
77,376,15,2,0,0,0,20,15,6,2,2,0,26,15,28,8,8,0,51
