--------- beginning of main
07-26 20:17:02.010 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:02.014 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:17:02.016 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:17:02.018 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:02.019 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=19ms  max=49ms
07-26 20:17:02.019 19189 19230 I LAT     : ========================================================
07-26 20:17:07.084 19189 19230 I LAT     : ===== LATENCY LOG [T+693s | N=3401] =====
07-26 20:17:07.089 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:07.093 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:07.097 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:17:07.100 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:17:07.102 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:07.103 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:07.104 19189 19230 I LAT     : ========================================================
07-26 20:17:12.159 19189 19230 I LAT     : ===== LATENCY LOG [T+698s | N=3426] =====
07-26 20:17:12.164 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:12.168 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:12.172 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:17:12.174 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:17:12.176 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:12.178 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:12.178 19189 19230 I LAT     : ========================================================
07-26 20:17:17.247 19189 19334 I LAT     : ===== LATENCY LOG [T+703s | N=3451] =====
07-26 20:17:17.251 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:17.255 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:17.259 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:17:17.261 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:17:17.263 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:17.265 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:17.265 19189 19334 I LAT     : ========================================================
07-26 20:17:22.336 19189 19334 I LAT     : ===== LATENCY LOG [T+709s | N=3476] =====
07-26 20:17:22.341 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:22.346 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:22.348 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:17:22.350 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:17:22.352 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:22.353 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:22.353 19189 19334 I LAT     : ========================================================
07-26 20:17:27.422 19189 19333 I LAT     : ===== LATENCY LOG [T+714s | N=3501] =====
07-26 20:17:27.424 19189 19333 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:27.427 19189 19333 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:27.431 19189 19333 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:27.433 19189 19333 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:27.435 19189 19333 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:27.437 19189 19333 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:27.437 19189 19333 I LAT     : ========================================================
07-26 20:17:32.497 19189 19332 I LAT     : ===== LATENCY LOG [T+719s | N=3526] =====
07-26 20:17:32.501 19189 19332 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:32.505 19189 19332 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:32.510 19189 19332 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:32.512 19189 19332 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:32.514 19189 19332 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:32.516 19189 19332 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:32.516 19189 19332 I LAT     : ========================================================
07-26 20:17:37.589 19189 19230 I LAT     : ===== LATENCY LOG [T+724s | N=3551] =====
07-26 20:17:37.595 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:37.600 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:37.604 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:37.607 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:37.609 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:37.610 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:37.611 19189 19230 I LAT     : ========================================================
07-26 20:17:42.672 19189 19333 I LAT     : ===== LATENCY LOG [T+729s | N=3576] =====
07-26 20:17:42.677 19189 19333 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:42.681 19189 19333 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:42.685 19189 19333 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:42.688 19189 19333 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:42.690 19189 19333 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:42.691 19189 19333 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:42.691 19189 19333 I LAT     : ========================================================
07-26 20:17:47.752 19189 19332 I LAT     : ===== LATENCY LOG [T+734s | N=3601] =====
07-26 20:17:47.756 19189 19332 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:47.761 19189 19332 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:47.765 19189 19332 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:47.768 19189 19332 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:47.770 19189 19332 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:47.771 19189 19332 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:47.771 19189 19332 I LAT     : ========================================================
07-26 20:17:52.833 19189 19333 I LAT     : ===== LATENCY LOG [T+739s | N=3626] =====
07-26 20:17:52.838 19189 19333 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:52.842 19189 19333 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:52.846 19189 19333 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:52.848 19189 19333 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:52.850 19189 19333 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:52.852 19189 19333 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:52.852 19189 19333 I LAT     : ========================================================
07-26 20:17:57.927 19189 19334 I LAT     : ===== LATENCY LOG [T+744s | N=3651] =====
07-26 20:17:57.932 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:17:57.936 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:17:57.940 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:17:57.943 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:17:57.945 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:17:57.947 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:17:57.947 19189 19334 I LAT     : ========================================================
07-26 20:18:03.004 19189 19334 I LAT     : ===== LATENCY LOG [T+749s | N=3676] =====
07-26 20:18:03.008 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:03.012 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:18:03.016 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:03.019 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:03.021 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:03.023 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:03.023 19189 19334 I LAT     : ========================================================
07-26 20:18:08.083 19189 19333 I LAT     : ===== LATENCY LOG [T+754s | N=3701] =====
07-26 20:18:08.087 19189 19333 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:08.091 19189 19333 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:18:08.095 19189 19333 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:08.099 19189 19333 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:08.101 19189 19333 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:08.102 19189 19333 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:08.102 19189 19333 I LAT     : ========================================================
07-26 20:18:13.161 19189 19334 I LAT     : ===== LATENCY LOG [T+759s | N=3726] =====
07-26 20:18:13.165 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:13.169 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:18:13.174 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
